Source,Destination,Protocol,Length,Info,Malicious
106,80,12,54,3513,1
80,95,12,1466,9881,1
106,47,12,54,57651,0
62,95,14,1466,68541,0
38,95,14,1466,68541,1
142,95,12,1514,19219,1
38,95,14,221,68541,1
57,95,12,75,14069,0
106,99,12,54,58703,0
220,95,12,1462,39350,1
122,95,14,1514,68541,1
142,95,14,1514,68541,1
12,95,14,85,68541,1
48,95,14,1466,68541,1
106,57,12,54,47119,0
40,95,14,342,68541,1
220,95,12,1462,39219,1
142,95,12,60,70862,1
106,55,12,54,61476,0
106,47,12,54,55818,1
106,47,14,295,68541,0
106,70,12,54,53598,1
106,80,12,54,3556,0
142,95,12,1514,21863,0
122,95,14,1514,68541,1
106,65,12,54,4715,1
46,95,14,1466,68541,0
220,95,12,1462,39854,1
15,95,12,1514,35962,1
220,95,12,1462,42564,1
48,95,14,1466,68541,1
106,134,12,54,48670,1
106,61,12,54,112,1
106,1,3,77,70028,1
142,95,12,1514,25290,1
106,1,3,72,69917,0
121,95,12,1514,37898,1
153,95,12,1514,13638,1
142,95,12,1514,25809,0
142,95,12,1514,24931,0
157,95,12,1514,15255,1
106,70,12,54,54538,0
70,95,14,1514,68543,1
220,95,12,1462,44715,0
106,171,12,54,68301,1
157,95,12,1514,15942,1
155,95,12,1514,8832,0
106,198,12,54,66471,0
157,95,12,1514,17997,1
122,95,12,1514,32308,0
65,95,14,1242,68541,0
80,95,14,1466,68541,1
106,17,12,54,2780,1
48,95,14,1466,68541,1
155,95,12,1514,8374,0
106,73,13,92,68541,0
2,95,3,167,70212,0
106,59,12,54,60957,1
121,95,12,1514,38151,0
106,47,14,93,68541,0
157,95,12,1514,15032,0
106,184,13,92,68541,0
106,62,14,471,68541,0
56,95,12,60,70908,0
70,95,12,1514,27556,1
2,95,3,205,70198,1
106,80,12,54,3697,1
220,95,12,1462,40097,0
220,95,14,1462,68541,1
80,95,14,1466,68541,1
57,95,14,1466,68541,1
106,99,12,54,58140,0
106,99,12,54,57935,1
23,95,14,1091,68541,0
106,93,14,132,68541,0
142,95,12,1514,20058,0
62,95,14,1466,68541,1
106,53,12,54,61273,1
62,95,12,60,36423,1
220,95,12,1462,43001,0
157,95,12,1514,16548,1
106,198,12,54,67080,1
107,95,5,98,69046,0
53,95,14,1466,68541,1
70,95,14,1514,68542,0
53,95,14,131,68541,1
106,65,12,54,4606,0
106,47,12,54,56900,0
155,95,12,1514,7806,1
106,22,14,135,68541,0
72,95,12,60,32827,0
142,95,12,1514,25812,1
106,56,8,427,69585,0
53,95,14,1466,68541,1
106,43,12,54,47418,1
229,200,0,60,70649,1
106,134,12,54,49811,1
106,119,12,54,53159,0
106,99,12,54,58106,0
106,132,12,54,2469,0
106,41,14,829,68541,1
106,70,12,54,53552,1
220,95,12,1462,40000,1
106,62,14,941,68541,0
122,95,12,1514,31976,1
70,95,12,1514,27102,0
106,10,12,54,3764,0
55,95,14,1466,68541,1
106,132,12,54,2234,1
220,95,12,1462,45905,1
106,198,12,54,65908,1
122,95,12,60,32415,0
62,95,14,85,68541,1
106,97,12,54,71010,0
70,95,14,1230,68542,0
65,95,12,1510,12363,0
62,95,14,1466,68541,0
62,95,12,60,36159,0
105,135,5,60,69071,1
142,95,12,1514,21770,1
80,95,14,1466,68541,1
48,95,14,1466,68541,1
142,95,12,1514,23130,0
106,101,12,54,61931,1
157,95,12,1514,14641,0
106,98,12,54,65171,1
62,95,14,1466,68541,1
106,64,12,74,1028,0
106,119,12,54,52268,0
70,95,14,691,68541,1
220,95,12,1462,40189,1
106,125,12,54,59584,0
106,99,12,54,58355,0
106,198,12,54,66842,0
157,95,12,1514,18501,0
220,95,12,1462,43555,0
80,95,12,66,10766,1
142,95,12,1514,23203,1
141,95,12,60,7192,0
121,95,12,1514,37405,0
106,198,12,54,66541,0
46,95,14,93,68541,0
106,70,12,54,54173,1
106,123,12,54,53451,0
106,134,12,54,48829,1
121,95,12,1514,37244,1
106,65,12,54,4845,1
157,95,12,1514,18082,1
106,29,12,54,47579,1
142,95,12,1514,23314,0
220,95,12,1462,43276,0
32,95,12,60,34440,1
155,95,12,1514,8862,0
106,16,12,54,395,0
106,45,14,4290,68541,0
142,95,12,1514,20498,0
106,101,14,403,68541,0
142,95,12,1514,21302,0
106,70,12,54,54438,1
106,65,12,54,3888,1
46,95,14,1466,68541,1
142,95,12,1514,25600,1
155,95,12,1514,7333,1
106,134,12,54,47677,0
142,95,12,1514,20400,0
55,95,14,1466,68541,1
48,95,14,1466,68541,0
220,95,12,1462,41601,0
80,95,14,1466,68541,1
122,95,12,1514,31907,1
65,95,12,1510,12309,1
106,22,12,54,536,1
106,57,14,93,68541,1
106,134,12,54,49597,1
106,65,12,54,4481,0
220,95,14,387,68546,0
15,95,12,1514,35730,0
106,80,12,54,3203,0
155,95,14,1514,68542,1
65,95,12,1510,12345,1
106,198,12,54,65903,1
220,95,12,1462,40861,0
106,65,12,54,4124,0
220,95,12,1462,44772,0
80,95,14,1466,68541,1
220,95,12,1462,42459,0
142,95,12,1514,22743,1
106,57,12,54,47179,0
142,95,12,1514,20524,1
106,47,12,54,55647,1
106,70,14,157,68541,0
62,95,14,1466,68541,1
122,95,12,1514,32465,0
107,95,5,98,68580,1
106,125,12,66,59794,0
106,175,14,1490,68541,1
106,47,14,187,68541,0
106,134,12,54,48848,0
209,95,12,1230,6651,0
220,95,12,1462,40180,0
80,95,14,182,68541,0
38,95,14,1466,68541,0
142,95,12,1514,25482,1
220,95,12,1462,43400,1
80,95,12,1466,10669,0
139,95,12,1514,29023,1
106,65,14,93,68541,0
106,134,12,54,49046,0
106,50,12,66,70810,1
72,95,14,1446,68541,0
48,95,14,195,68541,0
106,65,12,54,4100,0
38,95,14,1466,68541,0
61,95,14,155,68541,0
142,95,12,1514,24894,0
48,95,14,1466,68541,1
106,132,12,54,2141,0
106,65,12,54,4250,0
106,68,12,54,62675,1
106,22,14,156,68541,1
122,95,12,1514,32039,1
70,95,12,1514,27739,0
15,95,12,1514,35990,1
106,134,12,54,49664,0
80,95,12,1466,10307,0
106,69,12,2974,62453,0
106,26,14,202,68541,0
93,95,12,1514,13054,0
70,95,12,1514,27238,0
106,198,12,54,66521,0
106,65,12,54,4421,0
106,43,12,54,47368,0
157,95,12,1514,18092,0
142,95,12,1514,26076,0
70,95,12,1514,27893,0
65,95,14,1510,68541,1
53,95,14,1466,68541,1
62,95,14,1466,68541,1
0,135,2,339,68571,0
157,95,12,60,18126,1
48,95,14,1466,68541,0
70,95,14,788,68541,0
220,95,12,1462,44610,1
106,17,14,93,68541,1
139,95,12,60,29038,0
106,65,12,54,4722,1
2,95,3,212,70384,1
48,95,14,1466,68541,1
106,119,12,54,52755,1
142,95,14,1514,68541,1
106,70,12,54,54618,1
65,95,12,1254,12541,1
106,98,12,54,65347,0
142,95,12,1514,23767,1
106,132,12,54,2086,0
106,62,12,54,63235,1
106,93,12,54,5644,0
106,57,12,54,47143,0
106,198,12,54,66760,1
122,95,12,1514,30652,0
122,95,12,1514,30332,0
106,42,12,54,46974,0
106,132,12,54,1887,0
146,95,14,622,68541,0
142,95,14,1514,68541,1
142,95,12,1514,18876,1
70,95,14,1514,68542,1
65,95,12,1510,12636,0
2,95,3,88,70527,1
106,98,12,54,65165,1
65,95,12,1510,11938,0
122,95,12,1514,30339,1
106,132,12,54,2148,0
107,95,5,98,69040,0
106,98,12,54,71007,0
157,95,12,1514,17634,0
142,95,12,1514,20447,0
106,130,12,54,5838,0
48,95,12,60,29229,1
157,95,12,1514,16680,1
107,95,5,98,68744,0
148,95,14,1514,68567,0
81,95,12,1462,35073,0
106,119,12,54,51645,0
48,95,14,1466,68541,0
142,95,12,1514,21766,0
142,95,12,1514,24632,0
122,95,14,1514,68541,1
46,95,14,1466,68541,0
142,95,12,1514,22329,0
106,70,12,54,55314,1
197,95,14,144,68541,1
106,98,12,54,65113,0
106,70,12,54,55008,1
155,95,12,1514,9369,1
106,151,13,567,68565,1
80,95,14,1466,68541,0
46,95,14,1466,68541,0
157,95,12,1514,17326,1
65,95,12,1510,10865,1
43,95,12,290,13989,1
52,95,12,66,6659,0
62,95,14,1210,68542,1
157,95,12,1514,17458,1
220,95,12,1462,43178,1
62,95,12,642,36091,1
142,95,14,1514,68541,1
142,95,12,1514,18829,0
106,119,12,54,53232,1
220,95,12,1462,39649,0
141,95,12,1514,6966,1
106,70,12,54,54063,1
107,95,5,98,69012,0
122,95,12,1514,30263,0
62,95,14,1466,68541,0
142,95,12,1514,23307,1
148,95,12,1514,33147,1
184,95,12,1466,12773,1
106,42,12,54,46931,1
106,80,12,54,3201,0
127,95,14,138,68541,1
70,95,12,1514,27941,1
106,62,14,2559,68541,0
155,95,12,1514,8080,0
106,175,14,93,68541,0
220,95,12,1462,42310,0
106,134,12,54,48237,0
65,95,12,1510,10907,1
122,95,12,1514,30391,0
106,47,12,54,56479,0
106,119,12,54,51909,0
38,95,14,1179,68541,0
106,98,12,54,65439,1
220,95,12,1462,42724,1
48,95,14,1466,68541,1
106,109,12,1514,3719,1
106,132,12,54,1727,1
62,95,14,1466,68541,1
220,95,12,1462,43122,0
64,95,14,1510,68541,0
179,95,12,60,6425,0
48,95,14,173,68541,1
106,35,14,78,68541,1
65,95,12,1510,12403,1
106,134,12,54,48711,0
142,95,12,1514,22249,0
70,95,12,1514,27341,0
142,95,12,1514,20118,1
157,95,12,1514,16612,0
15,95,12,1514,35991,1
105,135,5,60,69071,0
48,95,14,1466,68541,0
220,95,12,1462,42537,0
48,95,14,880,68541,0
142,95,12,1514,22118,0
106,99,12,54,58198,0
57,95,14,1466,68541,0
80,95,14,1466,68541,1
106,69,12,2974,62461,0
106,59,12,54,60181,1
106,172,14,567,68565,0
106,96,5,98,69237,0
106,43,14,146,68541,0
220,95,14,1462,68541,0
123,95,12,60,70882,0
106,126,12,54,64389,1
80,95,12,1466,10560,0
106,1,3,100,70025,1
106,132,12,54,2119,0
122,95,12,1514,32621,1
106,99,12,54,58309,0
220,95,12,1462,39213,0
65,95,12,1510,11427,0
220,95,12,1462,41609,1
220,95,12,1462,42217,0
106,198,12,54,67276,0
122,95,12,1514,30599,1
48,95,14,1466,68541,1
220,95,12,1462,45370,1
70,95,12,1514,27156,0
55,95,14,1466,68541,1
70,95,12,1514,27258,0
106,53,12,54,61258,1
154,95,14,115,68541,1
220,95,14,1462,68541,1
106,17,12,54,2694,1
220,95,12,1462,40469,1
106,65,12,54,4496,1
106,99,12,54,59096,0
106,72,12,54,59145,1
106,161,12,54,46459,1
65,95,12,1510,12020,1
23,95,12,1494,6595,1
142,95,12,1514,26496,1
220,95,12,1462,42820,1
155,95,12,1514,7461,0
148,95,12,1514,34037,1
148,95,12,1514,34074,0
106,47,12,54,57320,0
121,95,12,1514,37393,0
106,70,14,230,68541,1
106,198,12,54,66972,1
48,95,14,1466,68541,0
43,95,14,1466,68541,1
157,95,12,1514,16898,0
106,99,12,54,58010,1
106,70,12,54,54169,1
220,95,12,1462,44390,1
122,95,12,1514,30550,0
106,198,12,54,66074,0
106,99,12,54,57871,1
70,95,12,1514,28021,0
120,95,12,60,70926,1
48,95,14,1466,68541,0
40,95,14,1466,68541,0
220,95,12,1462,39712,1
106,99,12,54,58440,1
106,93,12,54,5486,0
48,95,14,892,68541,1
106,123,12,54,53419,1
106,126,12,54,64233,1
220,95,12,1462,40241,0
65,95,12,60,11029,1
106,116,12,54,55457,1
106,97,8,425,69585,1
106,62,14,379,68542,1
106,134,12,54,48314,0
142,95,12,1514,26093,1
106,125,12,82,59959,1
153,95,12,1514,13541,1
106,103,12,54,5321,1
153,95,12,1514,13406,1
142,95,12,1514,23160,1
121,95,12,1514,37356,0
106,70,12,54,55354,1
106,198,12,54,66276,1
48,95,14,1466,68541,0
106,70,12,54,53792,0
220,95,12,1462,39744,0
106,41,12,54,885,1
106,198,12,54,66951,0
155,95,12,1514,8161,1
220,95,12,1462,39450,1
157,95,12,1514,18629,1
106,16,14,567,68565,0
106,134,12,54,49694,1
142,95,14,1514,68541,1
142,95,12,1514,21516,1
80,95,14,550,68541,1
